"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Byron Buxton","MIN","92","382","28","61","51","6","8.9%","30.4%",".303",".244",".224",".306",".526",".356","","136","4.3","19.6","6.2","4.0","14161"
"Nico Hoerner","CHC","135","517","10","60","55","20","5.4%","11.0%",".129",".300",".281",".327",".410",".320","","106","2.3","6.0","14.3","4.0","21479"
"Pete Alonso","NYM","160","685","40","95","131","5","9.8%","18.7%",".246",".279",".271",".352",".518",".366","","143","-2.5","32.0","-17.4","3.9","19251"
"Will Smith","LAD","137","578","24","68","87","1","9.7%","16.6%",".205",".276",".260",".343",".465",".349","","127","-3.6","14.8","3.0","3.9","19197"
"Travis d'Arnaud","ATL","107","426","18","61","60","0","4.5%","21.1%",".205",".306",".268",".319",".472",".343","","120","-3.6","6.1","16.8","3.9","7739"
"Jose Abreu","CHW","157","679","15","85","75","0","9.1%","16.2%",".141",".350",".304",".378",".446",".361","","137","-1.7","26.9","-11.7","3.9","15676"
"Taylor Ward","LAA","135","564","23","73","65","5","10.6%","21.3%",".192",".325",".281",".360",".473",".362","","137","0.7","23.9","-5.2","3.8","17548"
"Shohei Ohtani","LAA","157","666","34","90","95","11","10.8%","24.2%",".246",".320",".273",".356",".519",".370","","142","0.3","31.8","-16.4","3.8","19755"
"Juan Soto","- - -","153","664","27","93","62","6","20.3%","14.5%",".210",".249",".242",".401",".452",".376","","145","-2.4","32.0","-17.7","3.8","20123"
"Alejandro Kirk","TOR","139","541","14","59","63","0","11.6%","10.7%",".130",".299",".285",".372",".415",".347","","129","-7.1","10.4","8.8","3.8","22581"
"Adolis Garcia","TEX","156","657","27","88","101","25","6.1%","27.9%",".207",".309",".250",".300",".456",".324","","112","6.0","14.8","0.5","3.8","19287"
"Yandy Diaz","TBR","137","558","9","71","57","3","14.0%","10.8%",".127",".323",".296",".401",".423",".366","","146","-5.3","23.8","-5.7","3.8","16578"
"Jose Trevino","NYY","115","353","11","39","43","2","4.2%","17.6%",".140",".274",".248",".283",".388",".293","","91","-1.2","-4.9","29.0","3.7","16725"
"Ha-seong Kim","SDP","150","582","11","58","59","12","8.8%","17.2%",".132",".290",".251",".325",".383",".313","","105","1.9","5.4","10.0","3.7","27506"
"Elvis Andrus","- - -","149","577","17","66","58","18","6.8%","15.9%",".155",".272",".249",".303",".404",".310","","105","6.0","9.3","6.1","3.5","8709"
"Ian Happ","CHC","158","641","17","72","72","9","9.0%","23.2%",".169",".336",".271",".342",".440",".339","","120","0.7","15.2","-3.6","3.5","17919"
"Jeremy Pena","HOU","136","558","22","72","63","11","3.9%","24.2%",".173",".298",".253",".289",".426",".309","","102","3.7","4.8","10.0","3.4","21636"
"Cedric Mullins II","BAL","156","672","16","89","64","34","7.0%","18.8%",".145",".299",".258",".318",".403",".315","","106","3.3","7.6","3.0","3.3","17929"
"Willson Contreras","CHC","113","487","22","65","55","4","9.2%","21.1%",".224",".270",".243",".349",".466",".357","","132","-2.8","15.1","-0.4","3.3","11609"
"Luis Arraez","MIN","144","603","8","88","49","4","8.3%","7.1%",".104",".331",".316",".375",".420",".350","","131","-0.2","20.9","-10.1","3.1","18568"
